PSA_Id,Domain,en,guz
1,Education,"Introduces a multimodal AI pipeline that processes spoken English through speech-to-text, converts it into American Sign Language (ASL) gloss, and generates lifelike 3D sign language animations.","Agochakia omoroberio bwegekoreri kia bono kiobongaini bwa pandia kere nobomanyi ao ao ase enkwana yegesongo kegokwanwa goetera ebiorokererion, na koyeonchoreria koba enkwana yomonwa bwegesongo bwa Amerika (ASL), na nigo kegwata ebiorokererio bia boronge bienkwana goetera ebiorokererio bia 3D"
2,Education,"[4Ts Initiative] Track, Trace, Talk, and reTurn programme launched for school re-entry of vulnerable children, especially girls affected by pregnancy","Omoroberio omuya nebitamboero biabekirwe gokonya komanya, gosirana, kobwatania abana baria batari kwenyara, mono kegima abangina gose abanyaroka baria bare morito, gose abaibori abake koirana esukuru."
3,Education,"[CBC Implementation] Official implementation of Grades 4, 5, and 6 under Competency-Based Curriculum starting January 2020","Omoroberio bweserikari okebetererio abana basome koreng'ana nokwenyara kwabo CBC goetera goikerania okgania kwaye ase abana bekerasi gia 4, 5, na 6 gochakera omotienyi bweritangani 2020"
4,Education,"[DigiSchool Project] Connected 21 schools to the Internet, including 6 schools for children with special educational needs through UNESCO/Huawei partnership","Omoroberio bweserikari korenta etekinorochia ase amasomo yechisukuru chioboroso chieserikari gosira amasomo abano okonyire chisukuru 21 goikera eintaneti, amo nechisukuru 6 chiria chiabana bare noboremaru ao ao ase ogosirwa na UNESCO/okobwatana na Huawei."
5,Education,"[Digital Learning Initiative] Government rollout of 1.2 million digital devices including laptops for teachers and tablets for students to all 22,000 public primary schools",(Amasomo Abosa) Eserikari nesegerete amosomo abosa ase chisukuru chioboroso korengana nerichiko na korusia echogo ende yonsi ase chisukuru chioboroso chieserikari.
6,Education,[Free Education] Government reinforcement of free primary education policy with elimination of all levies and charges in public schools,(Amasomo Abosa) Eserikari nesegetete amosomo abosa ase chisukuru chioboroso korengana nerichiko na korusia echogo ende yonsi ase chisukuru chioboroso chiserikari.
7,Education,[Health Protocols] Comprehensive COVID-19 health and safety protocols for school reopening including mandatory masks and temperature monitoring,[Amachiko Obochenu] Ase oboikeranu amachiko obochenu igoro yendwari Yenyamayaa (COVID-19) ase chisukuru koigora amo nogochika kobeka ebitambaa biogotuma emenwa nechiomioro na gopima ribera ase omobere
8,Education,[Kenya Education Cloud] Digital learning platform providing free educational content during COVID-19 pandemic for remote learning continuity,[Omoreberio bwamasomo bwechisemi o'Kenya goetera enchera yegedichitari nigo biakorwa amaosomo bosa chingaki chiendwari ya COVID-19 erio goikerania amosomo kogenderera 
9,Education,[KUCCPS Portal] KUCCPS portal will open in March 2025 for university placement and course selection for 2024 KCSE candidates,[Eintaneti yekeombe keria ekenen gekorangeria abana gochia eyunifasisiti nechikorechi (KUCCP) neigoro omotienyi ogatato omwaka 2025 noigore ase abana beyunifasity na gochora chikosi chiabo ase  abana baria barigete amatemwa abo esekondari 2024 
10,Education,[School Feeding Scale-up] Target to increase school feeding beneficiaries from 1.9 million to over 10 million children by 2030,[Omoroberio bwokorageria chuisukuru nomente] Norengete kogesa abana bakoyeria nechisukuru korwa chimirioni 1.9 goika chimirioni 10 nyuma ya omwaka 2030
